   y1 y2  y3    y4    y5  y6
1  22  6  52  83.5  10.9 176
2  32  8  20  77.0  11.0 200
3  36  7  28  86.5  13.2 171
4  22 11  30 104.0  22.6 230
5  23  1  40  83.0  15.2 205
6  30  5  24  78.8   9.6 151
7  27  8  15  87.0  13.5 232
8  30 11  22  91.0  17.5 198
9  25 10  42  65.5  13.3 216
10 26  2 130  80.3  17.1 211
11 26  3  48  85.2  22.7 160
12 27  7  31  86.5   6.9 162
13 26 10  47  53.0  14.6 131
14 27  3  36  56.0  18.2 105
15 27  7  24  57.5   5.6 130
16 31  4  34  92.7   7.9 140
17 31  9  38  96.0  12.6 158
18 35 10  40 104.6  16.1 209
19 28  4  59  88.0   9.9 128
20 28  8  75  81.0  10.1 177
21 28  9  72  66.3  16.4 156
22 27  7  42  77.0  15.3 163
23 27  3  30  80.2   8.1 100
24 28  6  24  87.0   3.5 132
25 24  9  26  84.5  20.7 145
26 23  8  65  75.0  19.9 187
27 27  3  34  86.3  11.8 120
28 25  2  37  73.3  13.0 254
29 34  3  73  57.4   7.4 107
30 34  7  87  76.3   6.0  87
31 25  7  35  71.0   8.8 186
32 20  7  31  61.5   9.9 172
33 20  5  62  81.0  10.2 181
34 31  6  48  79.0  16.8 182
35 31  7  40  82.5   6.4 151
36 26  7  55  85.5  10.9 216
37 26  7  32  73.8   8.6 147
38 21 11  26  79.3  16.4 123
39 27  6  25  91.0  10.3 135
40 30 10 167  89.0  25.6 364
41 41 10 104  81.0  26.8 245
42 22  8  30 108.0   8.8 284
43 22  8  44 104.0  17.4 172
44 20 10  65  87.0  23.8 198
45 42  9 440 107.0  20.2 239
46 59  8  58  88.2  11.0 259
47 35  9 129  93.1  18.3 188
48 36  6 104  87.5  16.7 256
49 35  2 122  88.5  21.6 263
50 29  4 265  83.5  16.1 136
51 27  4 285  79.5  36.4 245
52 27  9  25  91.0  49.1 209
53 28  4 124  92.0  32.2 298
54 29  8  53  76.0  14.0 174
55 30  2  46  71.0  16.9 197
56 30  7  40  85.5  12.7 201
57 30  8  41  90.0   9.7 342
58 31  6 657 104.0 110.0 358
59 32  2 465  86.5  63.7 412
60 32  5 485  83.5  73.0 382
61 37  2 168  82.5  23.3 261
62 38  6 286 109.5  31.9 260
63 39  1 388  91.0  41.6 204
64 39  9 148 105.2  18.8 221
65 34  6  73 105.5  17.0 285
66 35  4  36  92.8  22.0 308
67 58  8  19 100.5  10.9 196
68 58  2  34  98.5  19.9 299
69 38  1 113  97.0  18.8 216
70 30  8  57 105.0  12.9 155
71 42  8  78 118.0  15.5 212
72 43 11  73 104.0  20.6 201
73 29  3  69 111.0  16.0 175
